genus,marker,n_unadjusted,n_adjusted,unadjusted_r,unadjusted_p,unadj_ci_lo,unadj_ci_hi,adjusted_r,adjusted_p,adj_ci_lo,adj_ci_hi,survives_adjustment,direction_consistent,unadj_direction,adj_direction,adj_bonferroni_passes,adj_fdr_adjusted_p,adj_fdr_passes
Streptococcus,Glucose,4539,3760,-0.036,0.015164063167321929,-0.0651,-0.007,-0.0019,0.90970338646524,-0.0338,0.0301,False,True,negative,negative,False,0.9410724687571448,False
Streptococcus,Total Chol,9239,7649,-0.0344,0.000944486391124612,-0.0547,-0.014,-0.0145,0.20545359432044585,-0.0369,0.0079,False,True,negative,negative,False,0.39019293769471425,False
Streptococcus,Systolic BP,9520,7838,-0.0175,0.08808861722935919,-0.0376,0.0026,0.0124,0.2735167398274984,-0.0098,0.0345,False,False,negative,positive,False,0.4733943573937473,False
Streptococcus,Diastolic BP,9498,7824,-0.0173,0.09270260882415354,-0.0374,0.0029,0.0191,0.09129967078852194,-0.0031,0.0412,False,False,negative,positive,False,0.21349727030175808,False
Streptococcus,HbA1c,9360,7752,-0.0169,0.10131182753225121,-0.0372,0.0033,0.0047,0.6768313809846839,-0.0175,0.027,False,False,negative,positive,False,0.8140432036370971,False
Haemophilus,hsCRP,4713,3912,-0.0534,0.00024359571919662707,-0.0818,-0.0249,-0.0267,0.09488767568967026,-0.058,0.0046,False,True,negative,negative,False,0.21349727030175808,False
Haemophilus,HDL,9239,7649,0.0486,2.9730664625705437e-06,0.0282,0.0689,0.0472,3.7074926235998643e-05,0.0248,0.0695,True,True,positive,positive,True,0.0004766776230342683,True
Haemophilus,LDL,4418,3650,-0.0173,0.25021094612107947,-0.0468,0.0122,0.0197,0.23493377839683136,-0.0128,0.0521,False,False,negative,positive,False,0.4315110215452005,False
Haemophilus,Triglycerides,4496,3724,-0.1099,1.4846789498880035e-13,-0.1387,-0.0809,-0.0634,0.00010846563392218863,-0.0953,-0.0314,True,True,negative,negative,True,0.0010205477264096713,True
Haemophilus,Glucose,4539,3760,-0.0578,9.703679234457209e-05,-0.0868,-0.0288,-0.0239,0.14324956991935894,-0.0558,0.0081,False,True,negative,negative,False,0.30696336411291203,False
Haemophilus,Total Chol,9239,7649,-0.0307,0.0031544669293435694,-0.0511,-0.0103,0.0219,0.05573372710104981,-0.0005,0.0443,False,False,negative,positive,False,0.1567511074717026,False
Haemophilus,Systolic BP,9520,7838,-0.0467,5.191077393934393e-06,-0.0667,-0.0266,-0.0008,0.94087492336144,-0.023,0.0213,False,True,negative,negative,False,0.9493812905934818,False
Haemophilus,Diastolic BP,9498,7824,-0.0303,0.0031105970751463628,-0.0504,-0.0102,0.0155,0.16976529389557565,-0.0066,0.0377,False,False,negative,positive,False,0.35221897182440853,False
Haemophilus,HbA1c,9360,7752,-0.0738,8.579326895045828e-13,-0.0939,-0.0537,-0.024,0.03498351850998866,-0.0462,-0.0017,True,True,negative,negative,False,0.11661172836662888,False
