Name	Taxonomy in SILVA v123
RB_family80	Bacteria;Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae
RB_family81	Bacteria;Actinobacteria;TakashiAC-B11;NA;NA
RB_family82	Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;Gaiellaceae
RB_family83	Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;NA
RB_family84	Bacteria;Actinobacteria;Thermoleophilia;NA;NA
RB_family85	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;0319-6M6
RB_family86	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;288-2
RB_family87	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;480-2
RB_family88	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae
RB_family89	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Elev-16S-1332
RB_family90	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;FFCH13075
RB_family91	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;NA
RB_family92	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Patulibacteraceae
RB_family93	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;S1-80
RB_family94	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae
RB_family95	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;TM146
RB_family96	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;YNPFFP1
RB_family97	Bacteria;Armatimonadetes;Armatimonadia;Armatimonadales;Armatimonadaceae
RB_family98	Bacteria;Armatimonadetes;NA;NA;NA
RB_family99	Bacteria;Atribacteria;Atribacteria_Incertae_Sedis;Unknown_Order;Unknown_Family
RB_family100	Bacteria;Bacteroidetes;Bacteroidetes_VC2.1_Bac22;NA;NA
RB_family101	Bacteria;Bacteroidetes;Bacteroidetes_vadinHA17;NA;NA
RB_family102	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae
RB_family103	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales_BS11_gut_group
RB_family104	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales_Incertae_Sedis
RB_family105	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales_RF16_group
RB_family106	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales_S24-7_group
RB_family107	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales_UCG-001
RB_family108	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;FTLpost3
RB_family109	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;M2PB4-65_termite_group
RB_family110	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae
RB_family111	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA
RB_family112	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;PL-11B8_wastewater-sludge_group
RB_family113	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae
RB_family114	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae
RB_family115	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae
RB_family116	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;p-2534-18B5_gut_group
RB_family117	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;ratAN060301C
RB_family118	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidia_Incertae_Sedis;Draconibacteriaceae
RB_family119	Bacteria;Bacteroidetes;Bacteroidia;NA;NA
RB_family120	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae
RB_family121	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae
RB_family122	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae
RB_family123	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;NA
RB_family124	Bacteria;Bacteroidetes;Cytophagia;NA;NA
RB_family125	Bacteria;Bacteroidetes;Cytophagia;Order_II;Rhodothermaceae
RB_family126	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Blattabacteriaceae
RB_family127	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae
RB_family128	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
RB_family129	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NA
RB_family130	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NS9_marine_group
RB_family131	Bacteria;Bacteroidetes;NA;NA;NA
RB_family132	Bacteria;Bacteroidetes;SB-5;NA;NA
